0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:52:28 +0530] "GET /ORS_Project4/doc/script.js HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:52:28 +0530] "GET /ORS_Project4/doc/stylesheet.css HTTP/1.1" 200 13416
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:52:28 +0530] "GET /ORS_Project4/doc/script.js HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:52:28 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:52:28 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:52:28 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:52:35 +0530] "GET /ORS_Project4/doc/com/rays/pro4/Bean/package-summary.html HTTP/1.1" 200 8075
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:52:35 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:52:36 +0530] "GET /ORS_Project4/doc/com/rays/pro4/Bean/BaseBean.html HTTP/1.1" 200 20107
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:52:36 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:43:42 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 500 1535
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:43:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:44:03 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 500 1535
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:44:08 +0530] "GET /ORS_Project4/ctl/UserCtl?id=30 HTTP/1.1" 200 3116
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:44:08 +0530] "GET /ORS_Project4/ctl/UserCtl?id=30 HTTP/1.1" 200 3116
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:44:08 +0530] "GET /ORS_Project4/ctl/UserCtl?id=30 HTTP/1.1" 200 3116
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:44:09 +0530] "GET /ORS_Project4/ctl/UserCtl?id=30 HTTP/1.1" 200 3116
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:44:09 +0530] "GET /ORS_Project4/ctl/UserCtl?id=30 HTTP/1.1" 200 3116
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:44:09 +0530] "GET /ORS_Project4/ctl/UserCtl?id=30 HTTP/1.1" 200 3116
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:44:09 +0530] "GET /ORS_Project4/ctl/UserCtl?id=30 HTTP/1.1" 200 3116
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:44:09 +0530] "GET /ORS_Project4/ctl/UserCtl?id=30 HTTP/1.1" 200 3116
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:44:15 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:44:17 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:44:17 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:44:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:44:56 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5870
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:44:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:45:12 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5893
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:45:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:45:33 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:50:29 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:50:42 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2512
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:52:06 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2510
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:52:42 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:29:25 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:33:17 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:33:29 +0530] "GET /ORS_Project4/ctl/ HTTP/1.1" 200 3109
